Date,Open,High,Low,Close,Volume
6/5/2020,767.3,782.59,765.37,782.59,272.45K
5/5/2020,763.22,767.03,760.04,764.16,212.38K
4/5/2020,766.14,769.73,761.64,762.47,285.57K
29/04/2020,768.59,772.62,768.19,769.11,250.08K
28/04/2020,773.31,776.13,763.66,767.21,219.40K
27/04/2020,780.65,785.74,770.77,770.77,307.36K
24/04/2020,777.28,778.3,767.31,776.66,262.27K
23/04/2020,768.92,785.6,768.92,773.91,205.80K
22/04/2020,752.8,774.94,749.97,768.92,253.44K
21/04/2020,794.97,794.97,761.96,766.84,397.40K
20/04/2020,796.17,797.49,786.73,794.97,336.05K
17/04/2020,786.96,790.95,783.74,789.6,309.86K
16/04/2020,773.11,781.06,770.91,780.7,250.94K
15/04/2020,768.05,779.52,768.01,777.22,302.62K
14/04/2020,769.01,769.53,753.85,767.41,266.78K
13/04/2020,762.99,774.62,762.53,765.79,235.28K
10/4/2020,759.08,764.36,751.59,757.94,338.40K
9/4/2020,751.08,765.87,751.08,760.33,298.47K
8/4/2020,740.03,748.36,730.12,748.02,252.29K
7/4/2020,744.97,749.13,730.28,746.69,292.97K
6/4/2020,716.22,736.75,715.39,736.75,334.90K
3/4/2020,687.92,701.8,687.92,701.8,233.09K
1/4/2020,658.8,684.96,657.41,680.23,267.02K
31/03/2020,669.74,678.64,649.1,662.53,262.79K
30/03/2020,663.91,665.56,657.36,662.26,233.10K
27/03/2020,692.54,703.22,682.52,696.06,327.99K
26/03/2020,689,700.76,680.1,694.21,221.85K
25/03/2020,669.76,690.25,667.58,690.25,270.18K
24/03/2020,666.59,666.59,652.27,659.21,245.15K
23/03/2020,694.77,694.77,664.23,666.59,280.25K
20/03/2020,728.55,729.35,709.73,709.73,230.59K
19/03/2020,732.35,733.43,714.02,725.94,353.39K
18/03/2020,747.4,752.65,742.12,747.66,259.02K
17/03/2020,724.07,750.03,721.84,745.78,287.28K
16/03/2020,758.28,758.59,737.58,747.86,292.25K
13/03/2020,750.56,764.69,723.42,761.78,354.71K
12/3/2020,778.06,778.06,762.12,769.25,339.23K
11/3/2020,843.52,844.94,794.54,811.35,318.57K
10/3/2020,813.83,843.28,806.63,837.5,298.02K
9/3/2020,875.8,875.8,834.67,835.49,309.10K
6/3/2020,888.96,891.44,882.71,891.44,214.34K
5/3/2020,892.71,898.43,891.2,893.31,231.34K
4/3/2020,887.85,889.85,882.83,889.37,238.45K
3/3/2020,895.39,896.39,890.06,890.61,212.74K
2/3/2020,878.43,886.45,877.31,884.43,206.64K
